mint,symbol,created_at_utc,complete,pool_address,market_cap_usd_at_snapshot,ath_market_cap_usd
2hnjtbqZ3tXggTqBtFcLnUuHXPWhGDaCpvwjKkRWYKMP,Sluglana,2026-09-06T15:16:06+00:00,False,3d8Ebykqb2AMkQvYLZCqQYCejvwTnPnj2FNYA6hEP4Td,2952.882107966518,4695.313965815962
9w9pAjZva3J9CZGcWURReijT5fg53TDpDFGmnxZDWkNx,Slowlana,2026-09-06T15:18:07+00:00,False,6etjeKgsQZEYP6yiWBx2Uxa8thedqGFYMLz7EBvgiVm2,2957.676555156853,7221.500666503955
3PZxEBtKLAwPVocJqGwoks2cLbQEomigQZ2Vc8fpuBE3,STK,2026-09-06T15:46:54+00:00,False,91UQAQBDjjacoDeCnD1qRYF3U4V2knpkzuLvTxKzBvAT,2929.2878553882447,19921.979487199915
GM3vyyrFUxUHjiEoqdq7WF5RVhve7iRkv7YfLMBszyen,STK,2026-09-06T15:47:39+00:00,False,FEeGPGSzj727L3qu5ToZdEbcLPL4HNXcHXX3fmHSektX,2958.900280477605,4720.514099289855
HtnAURS7rrWAE7ihyW6eFSzCut1RYEfJJZLomTW3Ys4s,JUDE,2026-09-06T15:48:15+00:00,False,95X553C8R9o9qxpT6q7TKUq7wE25ADqUYws4uxNyTkBb,2957.5023305076234,4480.4827146173675
DEh2oQEuxnbSKiGRqH4s4ZdhdYyZLXWnmRzP9X1osDAU,SolMan,2026-09-06T16:12:51+00:00,False,7AfZK2p3m59d8AgtQMmVGvxbBMWT4Ec7YtTrYohHuhhb,2961.3647704354335,12835.82230787414
H8sAxJP46HYq9DtEjnYS3sAT7h8NChBqA4CXFAgnqF7u,EOS,2026-09-06T16:15:11+00:00,True,96LmtpMQG6Rq3pDcUtzqnzRTAdFTzQS8JZi8N1wip8Hu,2802.6859915076066,49183.6503650205
9zo4vQzRe2Up7jy1KHSzbtKpeVCMhnBM6VvpWR8p9o2,Memeworld,2026-09-06T16:25:44+00:00,False,6gdreyrjgxsy4NYqAL7LtDHgfRNdUB7ZmSfjjk5z9zvL,2985.8146181820075,5789.209891945628
BxC5JStvjusqcAEnvaUt16JKzbpPDKFFBUo2UerB2nEm,up,2026-09-06T16:28:40+00:00,False,5a3gWyCXeGzkp8bJGHYVXzF93KHusgP3e8THXmP43aPB,2936.1903084297855,5781.989918401866
Gyxr9JXcL2p176bbszat7ZnHpb77q1b4RdQ4fx92W6RM,up,2026-09-06T16:28:43+00:00,False,EdPE3uAiGpPeSqtigaHuok8XV4mDVEsYDJ22g7WHBzhm,2962.1701797143814,5843.03235382646
7nv2fstkaJ7EmPGJxg8Jnzzwci5WVb5pePiSAEeCk3A1,DOG,2026-09-06T16:32:24+00:00,False,GDkdMpyKwjnAk3tpPzjXWLDYmN52S2eL11xzz4B6hj4x,2942.37462711806,6459.367447940251
C4Zrv5QP1mVqfBNVFqRG2hCnL45mUM2nLAksdufWiWmV,GIGADOG,2026-09-06T16:41:10+00:00,False,CwD2QALbqPJaR6N5T6689pQRy8KFnwVzAgczzsMkvsBz,2971.006138665031,4651.131082929041
DhFpno2JPmtKRJatJPALcoH4a7NzMeBL5xHgsJZGb8bs,MEMEWORLD,2026-09-06T16:59:06+00:00,False,FfQSjGk7h1DZG8rp3QyByTu4yN3HQv4Pzg5MmPugmocz,2870.6120129343426,8777.955418410222
2wxUFCQ5S14ptBZ3oPKpHtCQEqGRCr98rbRpENULQatj,tuly,2026-09-06T17:02:41+00:00,False,FV2PcF5bQ2654R2juhiXxGwWf7BWyh7HRqPEXagQ2e5b,2954.1472523729944,4846.759971135517
BxoxzMMwCRonEYAFfma67cjShuoAD6xdaVb4SeqhwH89,scam,2026-09-06T17:10:58+00:00,False,9ShkocSerxb48BaUvWhPfzWGiMRNwDEFHwijVVqTRkRV,2959.179870017894,4033.16956005192
81A5FxPcoGn5v9A8H2dQqPDbE2DbCrkWPKbdYTj62geL,XLANA,2026-09-06T17:17:52+00:00,False,EPg1UNAoDSnVoiyBGpe1qZjkoaPqFwfjCeXAn3EDxTyV,2965.741454386956,7530.98831767079
6jLjroViC3WxxnzqcAEpNvTHPuZDYu6vSNzm951kWYSb,AMERIICA,2026-09-06T17:48:09+00:00,False,HJazJvSZDfrRAc8WZ8BYcgZRYebXAw4HtKX75zps6rZj,2957.218118167983,6213.672290928698
DB2HpxkphPce8EA7bX4ZwE1Vv2RB2wnMiPwMWq2UsH42,McDonald,2026-09-06T17:49:25+00:00,False,AZazrYEarx7F8jcEqjd7SUa1zFLnwZdtkdYEhSuViuR7,2969.2255190001824,5828.3173894199135
9uhWXqy5QKFB2GmAep3V5kazQ59NPPFBJdY4Dn5fktk7,wif,2026-09-06T18:01:43+00:00,False,2BXiBUng6TjqLztWCuWSsRxEhmWNoQfL3ThtoG9FEA42,2971.496750620782,6580.536915887988
49c53qrr6Va8tsHwJmT2teRDToV7cE8gw3AtsnaGADt5,EVE,2026-09-06T18:13:01+00:00,False,AjDsTS97x5wEZG3zjivVrr82LNsPBfqFgnEbgFJmkoLo,2975.765509504342,9702.278109500374
GujqQMMtJJd4XJM2VGd446iTgx9GcQvYRXGwSuS7Jpw,1000x,2026-09-06T18:16:00+00:00,False,E9QLEWDz8d5e3SccfcQAvv3a7nANnxVcPu9zczDGRnxp,2973.4456461922687,5201.988253133708
Fi2oinc3hnEfisWdvh43ScWVECdvgHo5GwUotZgB5N7h,💚🤍,2026-09-06T18:16:57+00:00,False,J1AGzA2m8ZJCVEa8SpRsFXXPn9kCxhs6B1QpRLeRTUzW,2975.6756761716215,4095.2031788421573
He8tRwMCndqKvqn8kGRZ5ASFpcpZwTbxUuWr6q6YxhkQ,Solanabeach,2026-09-06T18:19:57+00:00,False,6aRKoQkMF2Dwdp5Q8Bx3ku8FGPakyVZocPGoyo2qBAMP,2971.202237907959,6040.03944431848
